"Latest: Time (s)","Latest: Potential (V)","Latest: Current (A)","FFT: Time - Frequency (Hz)","FFT: Potential - FFT"
0,-4.00638580322,-0.0190958249664,0,0.0205256165914
0.0001,-4.0641784668,-0.0294711488073,0.6103515625,0.0541822228613
0.0002,-4.05197143555,-0.0393805149906,1.220703125,0.0552110357797
0.0003,-3.95774841309,-0.0482647743274,1.8310546875,0.0224565127119
0.0004,-3.77864837646,-0.0561860545054,2.44140625,0.00139660758645
0.0005,-3.53260040283,-0.0631132916806,3.0517578125,0.00194397391299
0.0006,-3.21979522705,-0.0685494643517,3.662109375,0.00480381060877
0.0007,-2.8491973877,-0.0715315933599,4.2724609375,0.00357773004555
0.0008,-2.41184234619,-0.0734886155215,4.8828125,0.0038496209658
0.0009,-1.93195343018,-0.0734886155215,5.4931640625,0.00490589196422
0.001,-1.41258239746,-0.0705375503571,6.103515625,0.00381345381854
0.0011,-0.872039794922,-0.0670583998476,6.7138671875,0.00238406160577
0.0012,-0.307083129883,-0.0626162701792,7.32421875,0.00209062985762
0.0013,0.251770019531,-0.0546949900013,7.9345703125,0.00627841668286
0.0014,0.813674926758,-0.0468047736672,8.544921875,0.0127827166444
0.0015,1.35116577148,-0.0378894504865,9.1552734375,0.0142875712492
0.0016,1.86462402344,-0.0275141266457,9.765625,0.00911335776111
0.0017,2.3473739624,-0.0166107174596,10.3759765625,0.00462660551517
0.0018,2.77271270752,-0.0047443291146,10.986328125,0.0047031337754
0.0019,3.13720703125,0.00662503772901,11.5966796875,0.00444374577288
0.002,3.44085693359,0.0189884475753,12.20703125,0.00554872179214
0.0021,3.67774963379,0.0308548359203,12.8173828125,0.00528487231264
0.0022,3.8387298584,0.0422552666078,13.427734375,0.00373048818677
0.0023,3.92990112305,0.05312761195,14.0380859375,0.00285786680122
0.0024,3.93295288086,0.0630369781334,14.6484375,0.00220512293683
0.0025,3.85093688965,0.0734123019743,15.2587890625,0.0014029959066
0.0026,3.69911193848,0.0818306036535,15.869140625,0.00176694195077
0.0027,3.47118377686,0.087763797826,16.4794921875,0.00181595863589
0.0028,3.17363739014,0.0936969919985,17.08984375,0.000356923697963
0.0029,2.81219482422,0.0971450786642,17.7001953125,0.0036804071414
0.003,2.38990783691,0.0986361431683,18.310546875,0.00506332097043
0.0031,1.91307067871,0.0991331646696,18.9208984375,0.00391219189593
0.0032,1.40590667725,0.0976421001656,19.53125,0.00442959382188
0.0033,0.865364074707,0.0936969919985,20.1416015625,0.00460257962455
0.0034,0.300407409668,0.0892237984863,20.751953125,0.0027172099574
0.0035,-0.252342224121,0.0827935828124,21.3623046875,0.00287871518461
0.0036,-0.823402404785,0.0749033664783,21.97265625,0.00370677236343
0.0037,-1.36699676514,0.0654910217963,22.5830078125,0.00585036494552
0.0038,-1.88636779785,0.0551156979554,23.193359375,0.00819986134462
0.0039,-2.3754119873,0.0442122887694,23.8037109375,0.00699938797482
0.004,-2.81276702881,0.0333399434271,24.4140625,0.00406521906912
0.0041,-3.1925201416,0.0214735550821,25.0244140625,0.00714661387082
0.0042,-3.51448059082,0.00911014523581,25.634765625,0.00911670414481
0.0043,-3.7633895874,-0.0022592216078,26.2451171875,0.00746012485692
0.0044,-3.9457321167,-0.0141566737966,26.85546875,0.00488468300036
0.0045,-4.04891967773,-0.0250290191389,27.4658203125,0.00348999161596
0.0046,-4.06723022461,-0.0354043429797,28.076171875,0.0029975453271
0.0047,-4.00943756104,-0.0448166876618,28.6865234375,0.00306336197968
0.0048,-3.86371612549,-0.053234989341,29.296875,0.00361946979485
0.0049,-3.65715026855,-0.0616222271765,29.9072265625,0.00435159855736
0.005,-3.3655166626,-0.0670583998476,30.517578125,0.00549128872618
0.0051,-3.02238464355,-0.0705375503571,31.1279296875,0.00630413513712
0.0052,-2.61535644531,-0.0730226578639,31.73828125,0.0062267457743
0.0053,-2.15377807617,-0.0739856370228,32.3486328125,0.00543374277199
0.0054,-1.64337158203,-0.0725256363626,32.958984375,0.00406159934085
0.0055,-1.11808776855,-0.0690464858531,33.5693359375,0.00359738010268
0.0056,-0.559234619141,-0.0646043561846,34.1796875,0.00380155304514
0.0057,0.00267028808594,-0.0586711620122,34.7900390625,0.00314569854454
0.0058,0.5615234375,-0.0507498818342,35.400390625,0.00362506490272
0.0059,1.11122131348,-0.0418345586536,36.0107421875,0.00400923700701
0.006,1.63974761963,-0.0319562563141,36.62109375,0.00219106541389
0.0061,2.13184356689,-0.0210839109718,37.2314453125,0.00207338026545
0.0062,2.58445739746,-0.0106775232871,37.841796875,0.00232486400244
0.0063,2.98233032227,0.00168588655924,38.4521484375,0.00186398347492
0.0064,3.31325531006,0.0135522749042,39.0625,0.00472423378347
0.0065,3.58352661133,0.0249216417478,39.6728515625,0.00640735995085
0.0066,3.77502441406,0.0368190939366,40.283203125,0.00594922000198
0.0067,3.89957427979,0.0486854822816,40.8935546875,0.00492765990829
0.0068,3.94191741943,0.0585637846211,41.50390625,0.00419563140948
0.0069,3.90243530273,0.0689701723059,42.1142578125,0.00279978720458
0.007,3.77502441406,0.0778544316427,42.724609375,0.00193639773797
0.0071,3.58352661133,0.0852786903192,43.3349609375,0.00196308322662
0.0072,3.28598022461,0.0917089059931,43.9453125,0.00144641970916
0.0073,2.98233032227,0.0956540141601,44.5556640625,0.00314958953524
